season,conf,division,team,wins,losses,ties,pct,div_rank,scored,allowed,net,sov,sos,seed,playoff
2010,NFC,NFC West,STL,7,9,0,0.4375,2,289,328,-39,0.348214,0.449219,,
2011,AFC,AFC East,BUF,6,10,0,0.375,4,372,434,-62,0.510417,0.519531,,
2011,AFC,AFC East,MIA,6,10,0,0.375,3,329,313,16,0.416667,0.503906,,
2011,AFC,AFC East,NE,13,3,0,0.8125,1,513,342,171,0.423077,0.449219,1,LostSB
2011,AFC,AFC East,NYJ,8,8,0,0.5,2,377,363,14,0.398438,0.5,,
2011,AFC,AFC North,BAL,12,4,0,0.75,1,378,266,112,0.484375,0.476562,2,LostCC
2011,AFC,AFC North,CIN,9,7,0,0.5625,3,344,323,21,0.326389,0.492188,6,LostWC
2011,AFC,AFC North,CLE,4,12,0,0.25,4,218,307,-89,0.3125,0.53125,,
2011,AFC,AFC North,PIT,12,4,0,0.75,2,325,227,98,0.411458,0.492188,5,LostWC
2011,AFC,AFC South,HOU,10,6,0,0.625,1,381,278,103,0.4125,0.453125,3,LostDV
2011,AFC,AFC South,IND,2,14,0,0.125,4,243,430,-187,0.59375,0.539062,,
2011,AFC,AFC South,JAX,5,11,0,0.3125,3,243,329,-86,0.3625,0.5,,
2011,AFC,AFC South,TEN,9,7,0,0.5625,2,325,317,8,0.395833,0.460938,,
2011,AFC,AFC West,DEN,8,8,0,0.5,1,309,390,-81,0.445312,0.519531,4,LostDV
2011,AFC,AFC West,KC,7,9,0,0.4375,4,212,338,-126,0.464286,0.511719,,
2011,AFC,AFC West,OAK,8,8,0,0.5,3,359,433,-74,0.4375,0.503906,,
2011,AFC,AFC West,SD,8,8,0,0.5,2,406,377,29,0.429688,0.515625,,
2011,NFC,NFC East,DAL,8,8,0,0.5,3,369,347,22,0.375,0.472656,,
2011,NFC,NFC East,NYG,9,7,0,0.5625,1,394,400,-6,0.465278,0.519531,4,WonSB
2011,NFC,NFC East,PHI,8,8,0,0.5,2,396,328,68,0.398438,0.488281,,
2011,NFC,NFC East,WAS,5,11,0,0.3125,4,288,367,-79,0.4375,0.476562,,
2011,NFC,NFC North,CHI,8,8,0,0.5,3,353,341,12,0.40625,0.527344,,
2011,NFC,NFC North,DET,10,6,0,0.625,2,474,387,87,0.39375,0.535156,6,LostWC
2011,NFC,NFC North,GB,15,1,0,0.9375,1,560,359,201,0.458333,0.457031,1,LostDV
2011,NFC,NFC North,MIN,3,13,0,0.1875,4,340,449,-109,0.395833,0.558594,,
2011,NFC,NFC South,ATL,10,6,0,0.625,2,402,350,52,0.375,0.480469,5,LostWC
2011,NFC,NFC South,CAR,6,10,0,0.375,3,406,429,-23,0.3125,0.503906,,
2011,NFC,NFC South,NO,13,3,0,0.8125,1,547,339,208,0.442308,0.441406,3,LostDV
2011,NFC,NFC South,TB,4,12,0,0.25,4,287,494,-207,0.4375,0.550781,,
2011,NFC,NFC West,ARI,8,8,0,0.5,2,312,348,-36,0.390625,0.46875,,
2011,NFC,NFC West,SEA,7,9,0,0.4375,3,321,315,6,0.4375,0.511719,,
2011,NFC,NFC West,SF,13,3,0,0.8125,1,380,229,151,0.418269,0.449219,2,LostCC
2011,NFC,NFC West,STL,2,14,0,0.125,4,193,407,-214,0.53125,0.589844,,
2012,AFC,AFC East,BUF,6,10,0,0.375,4,344,435,-91,0.28125,0.476562,,
2012,AFC,AFC East,MIA,7,9,0,0.4375,2,288,317,-29,0.410714,0.496094,,
2012,AFC,AFC East,NE,12,4,0,0.75,1,557,331,226,0.463542,0.492188,2,LostCC
2012,AFC,AFC East,NYJ,6,10,0,0.375,3,281,375,-94,0.395833,0.507812,,
2012,AFC,AFC North,BAL,10,6,0,0.625,1,398,344,54,0.4375,0.496094,4,WonSB
2012,AFC,AFC North,CIN,10,6,0,0.625,2,391,320,71,0.38125,0.4375,6,LostWC
2012,AFC,AFC North,CLE,5,11,0,0.3125,4,302,368,-66,0.3875,0.507812,,
2012,AFC,AFC North,PIT,8,8,0,0.5,3,336,314,22,0.4375,0.464844,,
2012,AFC,AFC South,HOU,12,4,0,0.75,1,416,331,85,0.432292,0.496094,3,LostDV
2012,AFC,AFC South,IND,11,5,0,0.6875,2,357,387,-30,0.403409,0.441406,5,LostWC
2012,AFC,AFC South,JAX,2,14,0,0.125,4,255,444,-189,0.53125,0.539062,,
2012,AFC,AFC South,TEN,6,10,0,0.375,3,330,471,-141,0.34375,0.511719,,
2012,AFC,AFC West,DEN,13,3,0,0.8125,1,481,289,192,0.384615,0.457031,1,LostDV
2012,AFC,AFC West,KC,2,14,0,0.125,4,211,425,-214,0.4375,0.515625,,
2012,AFC,AFC West,OAK,4,12,0,0.25,3,290,443,-153,0.21875,0.46875,,
2012,AFC,AFC West,SD,7,9,0,0.4375,2,350,350,0,0.285714,0.457031,,
2012,NFC,NFC East,DAL,8,8,0,0.5,3,376,400,-24,0.421875,0.523438,,
2012,NFC,NFC East,NYG,9,7,0,0.5625,2,429,344,85,0.486111,0.519531,,
2012,NFC,NFC East,PHI,4,12,0,0.25,4,280,444,-164,0.484375,0.507812,,
2012,NFC,NFC East,WAS,10,6,0,0.625,1,436,388,48,0.45,0.492188,4,LostWC
2012,NFC,NFC North,CHI,10,6,0,0.625,3,375,277,98,0.4,0.507812,,
2012,NFC,NFC North,DET,4,12,0,0.25,4,372,437,-65,0.375,0.5625,,
2012,NFC,NFC North,GB,11,5,0,0.6875,1,433,336,97,0.4375,0.503906,3,LostDV
2012,NFC,NFC North,MIN,10,6,0,0.625,2,379,348,31,0.45,0.515625,6,LostWC
2012,NFC,NFC South,ATL,13,3,0,0.8125,1,419,299,120,0.418269,0.421875,1,LostCC
2012,NFC,NFC South,CAR,7,9,0,0.4375,2,357,363,-6,0.464286,0.515625,,
2012,NFC,NFC South,NO,7,9,0,0.4375,3,461,454,7,0.446429,0.519531,,
2012,NFC,NFC South,TB,7,9,0,0.4375,4,389,394,-5,0.446429,0.5,,
2012,NFC,NFC West,ARI,5,11,0,0.3125,4,250,357,-107,0.475,0.550781,,
2012,NFC,NFC West,SEA,11,5,0,0.6875,2,412,245,167,0.528409,0.496094,5,LostDV
2012,NFC,NFC West,SF,11,4,1,0.71875,1,397,273,124,0.477273,0.5,2,LostSB
2012,NFC,NFC West,STL,7,8,1,0.46875,3,299,348,-49,0.491071,0.535156,,
2013,AFC,AFC East,BUF,6,10,0,0.375,4,339,388,-49,0.5,0.519531,,
2013,AFC,AFC East,MIA,8,8,0,0.5,3,317,335,-18,0.523438,0.523438,,
2013,AFC,AFC East,NE,12,4,0,0.75,1,444,338,106,0.427083,0.472656,2,LostCC
2013,AFC,AFC East,NYJ,8,8,0,0.5,2,290,387,-97,0.414062,0.488281,,
2013,AFC,AFC North,BAL,8,8,0,0.5,3,320,352,-32,0.417969,0.484375,,
2013,AFC,AFC North,CIN,11,5,0,0.6875,1,430,305,125,0.494318,0.480469,3,LostWC
2013,AFC,AFC North,CLE,4,12,0,0.25,4,308,406,-98,0.476562,0.515625,,
2013,AFC,AFC North,PIT,8,8,0,0.5,2,379,370,9,0.441406,0.46875,,
2013,AFC,AFC South,HOU,2,14,0,0.125,4,276,428,-152,0.5,0.558594,,
2013,AFC,AFC South,IND,11,5,0,0.6875,1,391,336,55,0.448864,0.484375,4,LostDV
2013,AFC,AFC South,JAX,4,12,0,0.25,3,247,449,-202,0.234375,0.503906,,
2013,AFC,AFC South,TEN,7,9,0,0.4375,2,362,381,-19,0.375,0.503906,,
2013,AFC,AFC West,DEN,13,3,0,0.8125,1,606,399,207,0.423077,0.46875,1,LostSB
2013,AFC,AFC West,KC,11,5,0,0.6875,2,430,305,125,0.335227,0.445312,5,LostWC
2013,AFC,AFC West,OAK,4,12,0,0.25,4,322,453,-131,0.359375,0.523438,,
2013,AFC,AFC West,SD,9,7,0,0.5625,3,396,348,48,0.548611,0.496094,6,LostDV
2013,NFC,NFC East,DAL,8,8,0,0.5,2,439,432,7,0.363281,0.484375,,
2013,NFC,NFC East,NYG,7,9,0,0.4375,3,294,383,-89,0.366071,0.519531,,
2013,NFC,NFC East,PHI,10,6,0,0.625,1,442,382,60,0.390625,0.453125,3,LostWC
2013,NFC,NFC East,WAS,3,13,0,0.1875,4,334,478,-144,0.4375,0.515625,,
2013,NFC,NFC North,CHI,8,8,0,0.5,2,445,478,-33,0.46875,0.464844,,
2013,NFC,NFC North,DET,7,9,0,0.4375,3,395,376,19,0.401786,0.457031,,
2013,NFC,NFC North,GB,8,7,1,0.53125,1,417,428,-11,0.371094,0.453125,4,LostWC
2013,NFC,NFC North,MIN,5,10,1,0.34375,4,391,480,-89,0.45,0.511719,,
2013,NFC,NFC South,ATL,4,12,0,0.25,3,353,443,-90,0.3125,0.552734,,
2013,NFC,NFC South,CAR,12,4,0,0.75,1,366,241,125,0.450521,0.494141,2,LostDV
2013,NFC,NFC South,NO,11,5,0,0.6875,2,414,304,110,0.454545,0.515625,6,LostDV
2013,NFC,NFC South,TB,4,12,0,0.25,4,288,389,-101,0.390625,0.574219,,
2013,NFC,NFC West,ARI,10,6,0,0.625,3,379,324,55,0.44375,0.53125,,
2013,NFC,NFC West,SEA,13,3,0,0.8125,1,417,231,186,0.444712,0.490234,1,WonSB
2013,NFC,NFC West,SF,12,4,0,0.75,2,406,272,134,0.414062,0.494141,5,LostCC
2013,NFC,NFC West,STL,7,9,0,0.4375,4,348,364,-16,0.446429,0.550781,,
2014,AFC,AFC East,BUF,9,7,0,0.5625,2,343,289,54,0.486111,0.515625,,
2014,AFC,AFC East,MIA,8,8,0,0.5,3,388,373,15,0.40625,0.511719,,
2014,AFC,AFC East,NE,12,4,0,0.75,1,468,313,155,0.484375,0.511719,1,WonSB
2014,AFC,AFC East,NYJ,4,12,0,0.25,4,283,401,-118,0.375,0.542969,,
2014,AFC,AFC North,BAL,10,6,0,0.625,3,409,302,107,0.375,0.46875,6,LostDV
2014,AFC,AFC North,CIN,10,5,1,0.65625,2,365,344,21,0.425,0.496094,5,LostWC
2014,AFC,AFC North,CLE,7,9,0,0.4375,4,299,337,-38,0.366071,0.472656,,
2014,AFC,AFC North,PIT,11,5,0,0.6875,1,436,368,68,0.477273,0.445312,3,LostWC
2014,AFC,AFC South,HOU,9,7,0,0.5625,2,372,307,65,0.298611,0.445312,,
2014,AFC,AFC South,IND,11,5,0,0.6875,1,458,369,89,0.369318,0.476562,4,LostCC
2014,AFC,AFC South,JAX,3,13,0,0.1875,3,249,412,-163,0.3125,0.511719,,
2014,AFC,AFC South,TEN,2,14,0,0.125,4,254,438,-184,0.375,0.503906,,
2014,AFC,AFC West,DEN,12,4,0,0.75,1,482,354,128,0.484375,0.519531,2,LostDV
2014,AFC,AFC West,KC,9,7,0,0.5625,2,353,281,72,0.5,0.511719,,
2014,AFC,AFC West,OAK,3,13,0,0.1875,4,253,452,-199,0.541667,0.570312,,
2014,AFC,AFC West,SD,9,7,0,0.5625,3,348,348,0,0.402778,0.511719,,
2014,NFC,NFC East,DAL,12,4,0,0.75,1,467,352,115,0.421875,0.445312,3,LostDV
2014,NFC,NFC East,NYG,6,10,0,0.375,3,380,400,-20,0.322917,0.511719,,
2014,NFC,NFC East,PHI,10,6,0,0.625,2,474,400,74,0.4125,0.488281,,
2014,NFC,NFC East,WAS,4,12,0,0.25,4,301,438,-137,0.421875,0.496094,,
2014,NFC,NFC North,CHI,5,11,0,0.3125,4,319,442,-123,0.3375,0.527344,,
2014,NFC,NFC North,DET,11,5,0,0.6875,2,321,282,39,0.392045,0.46875,6,LostWC
2014,NFC,NFC North,GB,12,4,0,0.75,1,486,348,138,0.4375,0.480469,2,LostCC
2014,NFC,NFC North,MIN,7,9,0,0.4375,3,325,343,-18,0.303571,0.472656,,
2014,NFC,NFC South,ATL,6,10,0,0.375,3,381,417,-36,0.375,0.476562,,
2014,NFC,NFC South,CAR,7,8,1,0.46875,1,339,374,-35,0.357143,0.488281,4,LostDV
2014,NFC,NFC South,NO,7,9,0,0.4375,2,401,424,-23,0.410714,0.480469,,
2014,NFC,NFC South,TB,2,14,0,0.125,4,277,410,-133,0.46875,0.480469,,
2014,NFC,NFC West,ARI,11,5,0,0.6875,2,310,299,11,0.477273,0.523438,5,LostWC
2014,NFC,NFC West,SEA,12,4,0,0.75,1,394,254,140,0.510417,0.523438,1,LostSB
2014,NFC,NFC West,SF,8,8,0,0.5,3,306,340,-34,0.507812,0.527344,,
2014,NFC,NFC West,STL,6,10,0,0.375,4,324,354,-30,0.427083,0.53125,,
2015,AFC,AFC East,BUF,8,8,0,0.5,3,379,359,20,0.4375,0.507812,,
2015,AFC,AFC East,MIA,6,10,0,0.375,4,310,389,-79,0.46875,0.46875,,
2015,AFC,AFC East,NE,12,4,0,0.75,1,465,315,150,0.447917,0.472656,2,LostCC
2015,AFC,AFC East,NYJ,10,6,0,0.625,2,387,314,73,0.3875,0.441406,,
2015,AFC,AFC North,BAL,5,11,0,0.3125,3,328,401,-73,0.425,0.507812,,
2015,AFC,AFC North,CIN,12,4,0,0.75,1,419,279,140,0.40625,0.476562,3,LostWC
2015,AFC,AFC North,CLE,3,13,0,0.1875,4,278,432,-154,0.270833,0.53125,,
2015,AFC,AFC North,PIT,10,6,0,0.625,2,423,319,104,0.4625,0.503906,6,LostDV
2015,AFC,AFC South,HOU,9,7,0,0.5625,1,339,313,26,0.409722,0.496094,4,LostWC
2015,AFC,AFC South,IND,8,8,0,0.5,2,333,408,-75,0.40625,0.5,,
2015,AFC,AFC South,JAX,5,11,0,0.3125,3,376,448,-72,0.375,0.472656,,
2015,AFC,AFC South,TEN,3,13,0,0.1875,4,299,423,-124,0.375,0.492188,,
2015,AFC,AFC West,DEN,12,4,0,0.75,1,355,296,59,0.479167,0.5,1,WonSB
2015,AFC,AFC West,KC,11,5,0,0.6875,2,405,287,118,0.431818,0.496094,5,LostDV
2015,AFC,AFC West,OAK,7,9,0,0.4375,3,359,399,-40,0.366071,0.511719,,
2015,AFC,AFC West,SD,4,12,0,0.25,4,320,398,-78,0.328125,0.527344,,
2015,NFC,NFC East,DAL,4,12,0,0.25,4,275,374,-99,0.4375,0.53125,,
2015,NFC,NFC East,NYG,6,10,0,0.375,3,420,442,-22,0.395833,0.5,,
2015,NFC,NFC East,PHI,7,9,0,0.4375,2,377,430,-53,0.473214,0.507812,,
2015,NFC,NFC East,WAS,9,7,0,0.5625,1,388,379,9,0.402778,0.464844,4,LostWC
2015,NFC,NFC North,CHI,6,10,0,0.375,4,335,397,-62,0.46875,0.546875,,
2015,NFC,NFC North,DET,7,9,0,0.4375,3,358,400,-42,0.428571,0.535156,,
2015,NFC,NFC North,GB,10,6,0,0.625,2,368,323,45,0.45,0.53125,5,LostDV
2015,NFC,NFC North,MIN,11,5,0,0.6875,1,365,302,63,0.448864,0.503906,3,LostWC
2015,NFC,NFC South,ATL,8,8,0,0.5,2,339,345,-6,0.453125,0.480469,,
2015,NFC,NFC South,CAR,15,1,0,0.9375,1,500,308,192,0.4375,0.441406,1,LostSB
2015,NFC,NFC South,NO,7,9,0,0.4375,3,408,476,-68,0.401786,0.503906,,
2015,NFC,NFC South,TB,6,10,0,0.375,4,342,417,-75,0.40625,0.484375,,
2015,NFC,NFC West,ARI,13,3,0,0.8125,1,489,313,176,0.456731,0.476562,2,LostCC
2015,NFC,NFC West,SEA,10,6,0,0.625,2,423,277,146,0.43125,0.519531,6,LostDV
2015,NFC,NFC West,SF,5,11,0,0.3125,4,238,387,-149,0.4625,0.539062,,
2015,NFC,NFC West,STL,7,9,0,0.4375,3,280,330,-50,0.482143,0.527344,,
2016,AFC,AFC East,BUF,7,9,0,0.4375,3,399,378,21,0.339286,0.482422,,
2016,AFC,AFC East,MIA,10,6,0,0.625,2,363,380,-17,0.340625,0.455078,6,LostWC
2016,AFC,AFC East,NE,14,2,0,0.875,1,441,250,191,0.424107,0.439453,1,WonSB
2016,AFC,AFC East,NYJ,5,11,0,0.3125,4,275,409,-134,0.3125,0.517578,,
2016,AFC,AFC North,BAL,8,8,0,0.5,2,343,321,22,0.363281,0.498047,,
2016,AFC,AFC North,CIN,6,9,1,0.40625,3,325,315,10,0.333333,0.521484,,
2016,AFC,AFC North,CLE,1,15,0,0.0625,4,264,452,-188,0.3125,0.548828,,
2016,AFC,AFC North,PIT,11,5,0,0.6875,1,399,327,72,0.423295,0.494141,3,LostCC
2016,AFC,AFC South,HOU,9,7,0,0.5625,1,279,328,-49,0.427083,0.501953,4,LostDV
2016,AFC,AFC South,IND,8,8,0,0.5,3,411,392,19,0.40625,0.492188,,
2016,AFC,AFC South,JAX,3,13,0,0.1875,4,318,400,-82,0.416667,0.527344,,
2016,AFC,AFC South,TEN,9,7,0,0.5625,2,381,378,3,0.458333,0.464844,,
2016,AFC,AFC West,DEN,9,7,0,0.5625,3,333,297,36,0.454861,0.548828,,
2016,AFC,AFC West,KC,12,4,0,0.75,1,389,311,78,0.479167,0.507812,2,LostDV
2016,AFC,AFC West,OAK,12,4,0,0.75,2,416,385,31,0.442708,0.503906,5,LostWC
2016,AFC,AFC West,SD,5,11,0,0.3125,4,410,423,-13,0.5125,0.542969,,
2016,NFC,NFC East,DAL,13,3,0,0.8125,1,421,306,115,0.439904,0.470703,1,LostDV
2016,NFC,NFC East,NYG,11,5,0,0.6875,2,310,284,26,0.454545,0.486328,5,LostWC
2016,NFC,NFC East,PHI,7,9,0,0.4375,4,367,331,36,0.517857,0.558594,,
2016,NFC,NFC East,WAS,8,7,1,0.53125,3,396,383,13,0.429688,0.515625,,
2016,NFC,NFC North,CHI,3,13,0,0.1875,4,279,399,-120,0.395833,0.521484,,
2016,NFC,NFC North,DET,9,7,0,0.5625,2,346,358,-12,0.392361,0.474609,6,LostWC
2016,NFC,NFC North,GB,10,6,0,0.625,1,432,388,44,0.453125,0.507812,4,LostCC
2016,NFC,NFC North,MIN,8,8,0,0.5,3,327,307,20,0.457031,0.492188,,
2016,NFC,NFC South,ATL,11,5,0,0.6875,1,540,406,134,0.451705,0.480469,2,LostSB
2016,NFC,NFC South,CAR,6,10,0,0.375,4,369,402,-33,0.354167,0.517578,,
2016,NFC,NFC South,NO,7,9,0,0.4375,3,469,454,15,0.392857,0.523438,,
2016,NFC,NFC South,TB,9,7,0,0.5625,2,354,369,-15,0.434028,0.492188,,
2016,NFC,NFC West,ARI,7,8,1,0.46875,2,418,362,56,0.366071,0.462891,,
2016,NFC,NFC West,LA,4,12,0,0.25,3,224,394,-170,0.5,0.503906,,
2016,NFC,NFC West,SEA,10,5,1,0.65625,1,354,292,62,0.425,0.441406,3,LostDV
2016,NFC,NFC West,SF,2,14,0,0.125,4,309,480,-171,0.25,0.503906,,
2017,AFC,AFC East,BUF,9,7,0,0.5625,2,302,359,-57,0.395833,0.492188,6,LostWC
2017,AFC,AFC East,MIA,6,10,0,0.375,3,281,393,-112,0.53125,0.542969,,
2017,AFC,AFC East,NE,13,3,0,0.8125,1,458,296,162,0.466346,0.484375,1,LostSB
2017,AFC,AFC East,NYJ,5,11,0,0.3125,4,298,382,-84,0.4375,0.519531,,
2017,AFC,AFC North,BAL,9,7,0,0.5625,2,395,303,92,0.298611,0.441406,,
2017,AFC,AFC North,CIN,7,9,0,0.4375,3,290,349,-59,0.321429,0.464844,,
2017,AFC,AFC North,CLE,0,16,0,0.0,4,234,410,-176,0.0,0.519531,,
2017,AFC,AFC North,PIT,13,3,0,0.8125,1,406,308,98,0.423077,0.453125,2,LostDV
2017,AFC,AFC South,HOU,4,12,0,0.25,4,338,436,-98,0.375,0.515625,,
2017,AFC,AFC South,IND,4,12,0,0.25,3,263,404,-141,0.21875,0.480469,,
2017,AFC,AFC South,JAX,10,6,0,0.625,1,417,268,149,0.39375,0.433594,3,LostCC
2017,AFC,AFC South,TEN,9,7,0,0.5625,2,334,356,-22,0.395833,0.433594,5,LostDV
2017,AFC,AFC West,DEN,5,11,0,0.3125,4,289,382,-93,0.4125,0.492188,,
2017,AFC,AFC West,KC,10,6,0,0.625,1,415,339,76,0.48125,0.476562,4,LostWC
2017,AFC,AFC West,LAC,9,7,0,0.5625,2,355,272,83,0.347222,0.457031,,
2017,AFC,AFC West,OAK,6,10,0,0.375,3,301,373,-72,0.395833,0.511719,,
2017,NFC,NFC East,DAL,9,7,0,0.5625,2,354,332,22,0.4375,0.496094,,
2017,NFC,NFC East,NYG,3,13,0,0.1875,4,246,388,-142,0.458333,0.53125,,
2017,NFC,NFC East,PHI,13,3,0,0.8125,1,457,295,162,0.432692,0.460938,1,WonSB
2017,NFC,NFC East,WAS,7,9,0,0.4375,3,342,388,-46,0.428571,0.539062,,
2017,NFC,NFC North,CHI,5,11,0,0.3125,4,264,320,-56,0.5,0.558594,,
2017,NFC,NFC North,DET,9,7,0,0.5625,2,410,376,34,0.368056,0.496094,,
2017,NFC,NFC North,GB,7,9,0,0.4375,3,320,384,-64,0.357143,0.539062,,
2017,NFC,NFC North,MIN,13,3,0,0.8125,1,382,252,130,0.447115,0.492188,2,LostCC
2017,NFC,NFC South,ATL,10,6,0,0.625,3,353,315,38,0.475,0.542969,6,LostDV
2017,NFC,NFC South,CAR,11,5,0,0.6875,2,363,327,36,0.5,0.539062,5,LostWC
2017,NFC,NFC South,NO,11,5,0,0.6875,1,448,326,122,0.482955,0.535156,4,LostDV
2017,NFC,NFC South,TB,5,11,0,0.3125,4,335,382,-47,0.375,0.554688,,
2017,NFC,NFC West,ARI,8,8,0,0.5,3,295,361,-66,0.40625,0.488281,,
2017,NFC,NFC West,LA,11,5,0,0.6875,1,478,329,149,0.460227,0.503906,3,LostWC
2017,NFC,NFC West,SEA,9,7,0,0.5625,2,366,332,34,0.444444,0.492188,,
2017,NFC,NFC West,SF,6,10,0,0.375,4,331,383,-52,0.4375,0.511719,,
2018,AFC,AFC East,BUF,6,10,0,0.375,3,269,374,-105,0.40625,0.519531,,
2018,AFC,AFC East,MIA,7,9,0,0.4375,2,319,433,-114,0.446429,0.464844,,
2018,AFC,AFC East,NE,11,5,0,0.6875,1,436,325,111,0.488636,0.476562,2,WonSB
2018,AFC,AFC East,NYJ,4,12,0,0.25,4,333,441,-108,0.4375,0.5,,
2018,AFC,AFC North,BAL,10,6,0,0.625,1,389,287,102,0.44375,0.488281,4,LostWC
2018,AFC,AFC North,CIN,6,10,0,0.375,4,368,455,-87,0.447917,0.527344,,
2018,AFC,AFC North,CLE,7,8,1,0.46875,3,359,392,-33,0.410714,0.511719,,
2018,AFC,AFC North,PIT,9,6,1,0.59375,2,428,360,68,0.444444,0.5,,
2018,AFC,AFC South,HOU,11,5,0,0.6875,1,402,316,86,0.431818,0.46875,3,LostWC
2018,AFC,AFC South,IND,10,6,0,0.625,2,433,344,89,0.45625,0.464844,6,LostDV
2018,AFC,AFC South,JAX,5,11,0,0.3125,4,245,316,-71,0.4625,0.546875,,
2018,AFC,AFC South,TEN,9,7,0,0.5625,3,310,303,7,0.465278,0.519531,,
2018,AFC,AFC West,DEN,6,10,0,0.375,3,329,349,-20,0.458333,0.519531,,
2018,AFC,AFC West,KC,12,4,0,0.75,1,565,421,144,0.395833,0.476562,1,LostCC
2018,AFC,AFC West,LAC,12,4,0,0.75,2,428,329,99,0.416667,0.472656,5,LostDV
2018,AFC,AFC West,OAK,4,12,0,0.25,4,290,467,-177,0.390625,0.542969,,
2018,NFC,NFC East,DAL,10,6,0,0.625,1,339,324,15,0.44375,0.488281,4,LostDV
2018,NFC,NFC East,NYG,5,11,0,0.3125,4,369,412,-43,0.4875,0.527344,,
2018,NFC,NFC East,PHI,9,7,0,0.5625,2,367,348,19,0.486111,0.515625,6,LostDV
2018,NFC,NFC East,WAS,7,9,0,0.4375,3,281,359,-78,0.366071,0.484375,,
2018,NFC,NFC North,CHI,12,4,0,0.75,1,421,283,138,0.411458,0.421875,3,LostWC
2018,NFC,NFC North,DET,6,10,0,0.375,4,324,360,-36,0.416667,0.496094,,
2018,NFC,NFC North,GB,6,9,1,0.40625,3,376,400,-24,0.416667,0.484375,,
2018,NFC,NFC North,MIN,8,7,1,0.53125,2,360,341,19,0.351562,0.5,,
2018,NFC,NFC South,ATL,7,9,0,0.4375,2,414,423,-9,0.348214,0.476562,,
2018,NFC,NFC South,CAR,7,9,0,0.4375,3,376,382,-6,0.517857,0.503906,,
2018,NFC,NFC South,NO,13,3,0,0.8125,1,504,353,151,0.480769,0.476562,1,LostCC
2018,NFC,NFC South,TB,5,11,0,0.3125,4,396,464,-68,0.5,0.519531,,
2018,NFC,NFC West,ARI,3,13,0,0.1875,4,225,425,-200,0.291667,0.523438,,
2018,NFC,NFC West,LA,13,3,0,0.8125,1,527,384,143,0.423077,0.476562,2,LostSB
2018,NFC,NFC West,SEA,10,6,0,0.625,2,428,347,81,0.39375,0.480469,5,LostWC
2018,NFC,NFC West,SF,4,12,0,0.25,3,342,435,-93,0.40625,0.5,,
2019,AFC,AFC East,BUF,10,6,0,0.625,2,314,259,55,0.3625,0.460938,5,LostWC
2019,AFC,AFC East,MIA,5,11,0,0.3125,4,306,494,-188,0.4625,0.484375,,
2019,AFC,AFC East,NE,12,4,0,0.75,1,420,225,195,0.411458,0.46875,3,LostWC
2019,AFC,AFC East,NYJ,7,9,0,0.4375,3,276,359,-83,0.401786,0.472656,,
2019,AFC,AFC North,BAL,14,2,0,0.875,1,531,282,249,0.482143,0.492188,1,LostDV
2019,AFC,AFC North,CIN,2,14,0,0.125,4,279,420,-141,0.40625,0.550781,,
2019,AFC,AFC North,CLE,6,10,0,0.375,3,335,393,-58,0.479167,0.53125,,
2019,AFC,AFC North,PIT,8,8,0,0.5,2,289,303,-14,0.320312,0.5,,
2019,AFC,AFC South,HOU,10,6,0,0.625,1,378,385,-7,0.4875,0.519531,4,LostDV
2019,AFC,AFC South,IND,7,9,0,0.4375,3,361,373,-12,0.5,0.492188,,
2019,AFC,AFC South,JAX,6,10,0,0.375,4,300,397,-97,0.40625,0.484375,,
2019,AFC,AFC South,TEN,9,7,0,0.5625,2,402,331,71,0.465278,0.488281,6,LostCC
2019,AFC,AFC West,DEN,7,9,0,0.4375,2,282,316,-34,0.401786,0.507812,,
2019,AFC,AFC West,KC,12,4,0,0.75,1,451,308,143,0.473958,0.507812,2,WonSB
2019,AFC,AFC West,LAC,5,11,0,0.3125,4,337,345,-8,0.4875,0.511719,,
2019,AFC,AFC West,OAK,7,9,0,0.4375,3,313,419,-106,0.330357,0.480469,,
2019,NFC,NFC East,DAL,8,8,0,0.5,2,434,321,113,0.3125,0.476562,,
2019,NFC,NFC East,NYG,4,12,0,0.25,3,341,451,-110,0.28125,0.46875,,
2019,NFC,NFC East,PHI,9,7,0,0.5625,1,385,354,31,0.416667,0.453125,4,LostWC
2019,NFC,NFC East,WAS,3,13,0,0.1875,4,266,435,-169,0.270833,0.5,,
2019,NFC,NFC North,CHI,8,8,0,0.5,3,280,298,-18,0.375,0.503906,,
2019,NFC,NFC North,DET,3,12,1,0.21875,4,341,423,-82,0.375,0.503906,,
2019,NFC,NFC North,GB,13,3,0,0.8125,1,376,313,63,0.423077,0.449219,2,LostCC
2019,NFC,NFC North,MIN,10,6,0,0.625,2,407,303,104,0.35,0.472656,6,LostDV
2019,NFC,NFC South,ATL,7,9,0,0.4375,2,381,399,-18,0.517857,0.542969,,
2019,NFC,NFC South,CAR,5,11,0,0.3125,4,340,470,-130,0.4625,0.546875,,
2019,NFC,NFC South,NO,13,3,0,0.8125,1,458,341,117,0.456731,0.484375,3,LostWC
2019,NFC,NFC South,TB,7,9,0,0.4375,3,458,449,9,0.375,0.496094,,
2019,NFC,NFC West,ARI,5,10,1,0.34375,4,361,442,-81,0.375,0.527344,,
2019,NFC,NFC West,LA,9,7,0,0.5625,3,394,364,30,0.430556,0.53125,,
